,Bridge5,class
2022-07-04 17:08:20.137627+00:00,0.07,True
2022-07-04 17:39:34.066280+00:00,0.065,True
2022-07-04 18:10:48.543961+00:00,0.063,True
2022-07-04 18:42:02.535260+00:00,0.058,True
2022-07-04 19:13:17.023594+00:00,0.052,True
2022-07-04 19:44:31.257654+00:00,0.048,True
2022-07-04 20:15:45.823167+00:00,0.042,True
2022-07-04 20:47:00.137587+00:00,0.041,True
2022-07-04 21:18:14.625682+00:00,0.044,True
2022-07-04 21:49:28.933924+00:00,0.05,True
2022-07-04 22:20:43.337764+00:00,0.048,True
2022-07-04 22:51:57.499924+00:00,0.051,True
2022-07-04 23:23:11.661400+00:00,0.04,True
2022-07-04 23:54:26.220213+00:00,0.043,True
2022-07-05 00:25:40.626555+00:00,0.053,True
2022-07-05 00:56:54.857949+00:00,0.047,True
2022-07-05 01:28:09.018639+00:00,0.056,True
2022-07-05 01:59:23.503017+00:00,0.055,True
2022-07-05 02:30:37.733824+00:00,0.054,True
2022-07-05 03:01:51.819112+00:00,0.059,True
2022-07-05 03:33:36.539935+00:00,0.057,True
2022-07-05 04:04:50.619772+00:00,0.058,True
2022-07-05 04:36:05.423733+00:00,0.067,True
2022-07-05 05:07:19.827325+00:00,0.068,True
2022-07-05 05:38:34.545352+00:00,0.069,True
2022-07-05 06:09:47.419356+00:00,0.072,True
2022-07-05 06:41:01.738975+00:00,0.077,True
2022-07-05 07:12:16.465755+00:00,0.077,True
2022-07-05 07:43:30.705776+00:00,0.079,True
2022-07-05 08:14:44.773112+00:00,0.082,True
2022-07-05 08:45:59.254149+00:00,0.083,True
2022-07-05 09:17:13.738501+00:00,0.078,True
2022-07-05 09:48:28.220959+00:00,0.078,True
2022-07-05 10:19:42.698544+00:00,0.08,True
2022-07-05 10:50:57.506238+00:00,0.08,True
2022-07-05 11:22:11.575138+00:00,0.079,True
2022-07-05 11:53:25.577843+00:00,0.079,True
2022-07-05 12:24:39.983415+00:00,0.077,True
2022-07-05 12:55:53.896098+00:00,0.073,True
2022-07-05 13:27:08.380133+00:00,0.069,True
2022-07-05 13:58:22.942373+00:00,0.064,True
2022-07-05 14:29:37.496672+00:00,0.061,True
2022-07-05 15:00:55.813765+00:00,0.059,True
2022-07-05 15:32:09.744293+00:00,0.062,True
2022-07-05 16:03:24.381413+00:00,0.063,True
2022-07-05 16:35:09.344405+00:00,0.061,True
2022-07-05 17:06:23.424829+00:00,0.062,True
2022-07-05 17:37:37.585290+00:00,0.058,True
2022-07-05 18:08:51.829409+00:00,0.06,True
2022-07-05 18:40:36.863795+00:00,0.057,True
2022-07-05 19:11:51.185400+00:00,0.051,True
2022-07-05 19:43:05.583116+00:00,0.048,True
2022-07-05 20:14:20.135775+00:00,0.038,True
2022-07-05 20:45:34.214169+00:00,0.038,True
2022-07-05 21:16:48.379927+00:00,0.038,True
2022-07-05 21:48:02.618830+00:00,0.035,True
2022-07-05 22:19:16.943824+00:00,0.035,True
2022-07-05 22:50:31.103845+00:00,0.038,True
2022-07-05 23:21:49.002954+00:00,0.046,True
2022-07-05 23:53:31.021191+00:00,0.045,True
2022-07-06 00:24:45.179561+00:00,0.049,True
2022-07-06 00:55:59.657455+00:00,0.048,True
2022-07-06 01:27:14.065137+00:00,0.052,True
2022-07-06 01:58:28.146263+00:00,0.052,True
2022-07-06 02:29:42.457599+00:00,0.052,True
2022-07-06 03:00:59.405050+00:00,0.051,True
2022-07-06 03:32:10.621000+00:00,0.053,True
2022-07-06 04:03:25.182452+00:00,0.056,True
2022-07-06 04:34:39.576690+00:00,0.067,True
2022-07-06 05:05:54.301707+00:00,0.071,True
2022-07-06 05:37:08.861294+00:00,0.072,True
2022-07-06 06:08:23.344159+00:00,0.069,True
